ensemble_run_id,timestamp,select_by,best_linear,linear_run_id,linear_rmse,best_tree,tree_run_id,tree_rmse,blending_rmse,stacking_rmse,ensemble_name,ensemble_rmse,ensemble_r2,best_weight_linear,stacking_coef_linear,stacking_coef_tree,stacking_intercept,stacking_bias,figure_path,notes,stacking_r2,stack_top_k,stacking_members,stacking_member_run_ids,stacking_member_rmse,stacking_meta_coefs,stacking_blend_method,stacking_oof_rmse
20260319_122203,2026-03-19 12:22:03,test_rmse,elasticnet,20260319_121319,1.8873,random_forest,20260319_121319,1.9497,1.7218,1.7795,Blending(w=0.55),1.7218,0.9266,0.55,0.8258,0.1107,1.1104,-0.4273,/Users/zhangjiayu/PythonProject/weather-forecast/outputs/figures/ensemble_from_history_20260319_122203.png,,,,,,,,,
20260319_122521,2026-03-19 12:25:22,test_rmse,elasticnet,20260311_004518,1.8873,catboost,20260310_231542,1.9025,1.6744,1.6109,Stacking,1.6109,0.9358,0.5,0.6536,0.2855,0.8727,-0.356,/Users/zhangjiayu/PythonProject/weather-forecast/outputs/figures/ensemble_from_history_20260319_122521.png,,,,,,,,,
20260319_132306,2026-03-19 13:23:07,test_rmse,elasticnet,20260311_004518,1.8873,catboost,20260310_231542,1.9025,,1.6109,,,,,0.6536,0.2855,0.8727,-0.356,outputs/figures/ensemble_stacking_20260319_132306.png,,0.9358,,,,,,,
20260322_122041,2026-03-22 12:20:41,test_rmse,elasticnet,20260311_004518,1.8873,lightgbm,20260322_121842,1.6842,,1.647,,,,,0.6898,0.2514,0.9447,-0.3931,outputs/figures/ensemble_stacking_20260322_122041.png,,0.9329,,,,,,,
20260325_212227,2026-03-25 21:22:27,test_rmse,elasticnet,20260325_202828,1.723,lightgbm,20260325_202828,1.2094,,1.2983,,,,,0.3287,0.6252,1.0466,-0.5576,outputs/figures/ensemble_stacking_20260325_212227.png,,0.9583,,,,,,,
20260325_220716,2026-03-25 22:07:16,test_rmse,,,,,,,,1.4406,,,,,,,0.8606,-0.8192,outputs/figures/ensemble_stacking_20260325_220716.png,,0.9486,3.0,"[""lightgbm"", ""catboost"", ""xgboost""]","[""20260325_202828"", ""20260325_202828"", ""20260325_202828""]","[1.2094, 1.3111, 1.3767]","[0.4807, 0.623, -0.1227]",,
20260325_223717,2026-03-25 22:37:24,test_rmse,,,,,,,,1.373,,,,,,,0.972,-0.7123,outputs/figures/ensemble_stacking_20260325_223717.png,,0.9533,4.0,"[""lightgbm"", ""catboost"", ""xgboost"", ""elasticnet""]","[""20260325_202828"", ""20260325_202828"", ""20260325_202828"", ""20260325_202828""]","[1.2094, 1.3111, 1.3767, 1.723]","[0.3809, 0.3928, 0.0, 0.1949]",,
20260325_230139,2026-03-25 23:01:49,test_rmse,,,,,,,,1.1993,,,,,,,0.0,-0.3876,outputs/figures/ensemble_stacking_20260325_230139.png,,0.9644,3.0,"[""lightgbm"", ""catboost"", ""xgboost""]","[""20260325_202828"", ""20260325_202828"", ""20260325_202828""]","[1.2094, 1.3111, 1.3767]","[0.5092, 0.4856, 0.0052]",convex_slsqp,2.3685
20260403_195330,2026-04-03 19:53:30,test_rmse,,,,,,,,1.3381,,,,,,,0.1207,0.0595,outputs/figures/ensemble_stacking_20260403_195330.png,,0.9557,3.0,"[""lightgbm"", ""xgboost"", ""catboost""]","[""20260403_184128"", ""20260403_184128"", ""20260403_184128""]","[1.2439, 1.3058, 1.3331]","[-0.0688, 0.1245, 0.9295]",linear_ols,2.361
